구분,유저,챗봇
유저,탄소 발자국이란 무엇인가요?,"{""message"": ""탄소 발자국이란 인간의 활동이나 상품 소비 및 생산 과정에서 발생하는 이산화탄소를 의미하는 단어예요. 예를 들어 컴퓨터와 스마트폰 등 디지털 기기를 사용하는 활동도 이산화탄소를 발생시키기 때문에 탄소발자국에 포함된답니다.""}"
유저,탄소 발자국이 무엇인가요?,"{""message"": ""탄소 발자국이란 인간의 활동이나 상품 소비 및 생산 과정에서 발생하는 이산화탄소를 의미하는 단어예요. 예를 들어 컴퓨터와 스마트폰 등 디지털 기기를 사용하는 활동도 이산화탄소를 발생시키기 때문에 탄소발자국에 포함된답니다.""}"
유저,탄소 발자국이 뭐에요?,"{""message"": ""탄소 발자국이란 인간의 활동이나 상품 소비 및 생산 과정에서 발생하는 이산화탄소를 의미하는 단어예요. 예를 들어 컴퓨터와 스마트폰 등 디지털 기기를 사용하는 활동도 이산화탄소를 발생시키기 때문에 탄소발자국에 포함된답니다.""}"
유저,탄소 배출을 줄이기 위해 어떤 제품을 선택해야 하나요?,"{""message"": ""탄소 배출을 줄이기 위해서는 일상에서 친환경 제품을 사용하는 것이 중요합니다! 미션을 수행하여 포인트를 얻고 다양한 친환경 상품을 구매해보세요."", ""moreText"": ""포인트 상점 바로가기""}"
유저,탄소 배출을 줄일려면 어떻게 해?,"{""message"": ""탄소 배출을 줄이기 위해서는 일상에서 친환경 제품을 사용하는 것이 중요합니다! 미션을 수행하여 포인트를 얻고 다양한 친환경 상품을 구매해보세요."", ""moreText"": ""포인트 상점 바로가기""}"
유저,탄소 배출을 위해 어떤 제품을 선택 해야 하나요?,"{""message"": ""탄소 배출을 줄이기 위해서는 일상에서 친환경 제품을 사용하는 것이 중요합니다! 미션을 수행하여 포인트를 얻고 다양한 친환경 상품을 구매해보세요."", ""moreText"": ""포인트 상점 바로가기""}"
기업,정부에서 진행 중인 탄소중립 관련 지원금이나 혜택 등 지원 프로그램이 있나요?,"{""message"": ""정부에서 진행 중인 탄소중립 관련 지원 프로그램이나 사업을 찾아봤어요!"", ""images"":[""company_poster1.png"", ""company_poster2.png""]}"
기업,정부에서 진행 중인 탄소중립 관련 혜택이 어떤게 있나요?,"{""message"": ""정부에서 진행 중인 탄소중립 관련 지원 프로그램이나 사업을 찾아봤어요!"", ""images"":[""company_poster1.png"", ""company_poster2.png""]}"
기업,정부에서 진행 중인 탄소중립 관련 지원 프로그램이 있나요?,"{""message"": ""정부에서 진행 중인 탄소중립 관련 지원 프로그램이나 사업을 찾아봤어요!"", ""images"":[""company_poster1.png"", ""company_poster2.png""]}"
기업,"이번에 기업에서 정식으로 탄소 중립 인증을 받으려고 준비 중인데, 필요한 절차와 요구 사항이 있을까요?","{""message"": ""탄소 중립 인증을 위한 필수 절차와 요구 사항은 아래를 확인하여 참고해주세요!"", ""moreText"": ""T?V S?D의 탄소중립 인증은 2단계로 이루어져 있습니다. 우선 기업은 현재 배출량과 예상 배출량을 보여주는 온실가스 인벤토리를 제출해야 합니다. 인증 요건을 충족하기 위해서는 탄소 발자국이 온실가스 프로토콜(GHG)이나ISO 14064 표준을 준수해야 합니다.
기업의 탄소 상쇄 또한 평가합니다. 나아가 T?V S?D 탄소중립 인증은 기업의 기후변화를 위한 노력과 의지, 에너지 효율적인 운영을 위한노력, 향후 온실가스 배출을 방지하기 위한 계획 등을 확인합니다."", ""linkInfo"": {""linkText"": ""탄소중립 인증 | T?V S?D Korea 더보기 "", ""link"": ""https://www.tuvsud.com/ko-kr/services/auditing-and-system-certification/carbon-neutrality-certification""}}"
기업,이번에 기업에서 정식으로 탄소 중립 인증을 받을려고 합니다 어떻게 해야 할까요?,"{""message"": ""탄소 중립 인증을 위한 필수 절차와 요구 사항은 아래를 확인하여 참고해주세요!"", ""moreText"": ""T?V S?D의 탄소중립 인증은 2단계로 이루어져 있습니다. 우선 기업은 현재 배출량과 예상 배출량을 보여주는 온실가스 인벤토리를 제출해야 합니다. 인증 요건을 충족하기 위해서는 탄소 발자국이 온실가스 프로토콜(GHG)이나ISO 14064 표준을 준수해야 합니다.
기업의 탄소 상쇄 또한 평가합니다. 나아가 T?V S?D 탄소중립 인증은 기업의 기후변화를 위한 노력과 의지, 에너지 효율적인 운영을 위한노력, 향후 온실가스 배출을 방지하기 위한 계획 등을 확인합니다."", ""linkInfo"": {""linkText"": ""탄소중립 인증 | T?V S?D Korea 더보기 "", ""link"": ""https://www.tuvsud.com/ko-kr/services/auditing-and-system-certification/carbon-neutrality-certification""}}"
기업,이번에 기업에서 정식으로 탄소 중립 인증을 받고 싶은데 어떻게 해야 하나요?,"{""message"": ""탄소 중립 인증을 위한 필수 절차와 요구 사항은 아래를 확인하여 참고해주세요!"", ""moreText"": ""T?V S?D의 탄소중립 인증은 2단계로 이루어져 있습니다. 우선 기업은 현재 배출량과 예상 배출량을 보여주는 온실가스 인벤토리를 제출해야 합니다. 인증 요건을 충족하기 위해서는 탄소 발자국이 온실가스 프로토콜(GHG)이나ISO 14064 표준을 준수해야 합니다.
기업의 탄소 상쇄 또한 평가합니다. 나아가 T?V S?D 탄소중립 인증은 기업의 기후변화를 위한 노력과 의지, 에너지 효율적인 운영을 위한노력, 향후 온실가스 배출을 방지하기 위한 계획 등을 확인합니다."", ""linkInfo"": {""linkText"": ""탄소중립 인증 | T?V S?D Korea 더보기 "", ""link"": ""https://www.tuvsud.com/ko-kr/services/auditing-and-system-certification/carbon-neutrality-certification""}}"
